iter	Passed	Remaining
0	13	13412
1	26	13336
2	40	13341
3	52	13062
4	65	12937
5	76	12605
6	84	12028
7	92	11529
8	99	10960
9	106	10567
10	112	10092
11	117	9644
12	122	9270
13	126	8923
14	131	8637
15	135	8350
16	139	8079
17	143	7820
18	146	7569
19	149	7341
20	153	7156
21	156	6973
22	159	6792
23	162	6617
24	166	6491
25	169	6346
26	172	6200
27	174	6067
28	177	5941
29	181	5868
30	184	5768
31	187	5682
32	190	5588
33	193	5502
34	196	5417
35	199	5335
36	202	5259
37	204	5184
38	208	5140
39	211	5075
40	214	5021
41	217	4966
42	220	4905
43	223	4858
44	226	4805
45	230	4772
46	233	4733
47	236	4686
48	239	4639
49	241	4591
50	244	4554
51	247	4511
52	250	4473
53	253	4433
54	256	4405
55	259	4370
56	262	4340
57	265	4308
58	267	4274
59	270	4242
60	273	4210
61	276	4190
62	280	4164
63	283	4146
64	286	4120
65	289	4094
66	292	4069
67	295	4048
68	298	4029
69	301	4005
70	304	3982
71	307	3960
72	310	3941
73	313	3918
74	316	3903
75	319	3886
76	322	3865
77	325	3852
78	328	3832
79	332	3828
80	337	3824
81	340	3808
82	343	3794
83	346	3777
84	350	3773
85	353	3757
86	356	3741
87	359	3725
88	362	3709
89	365	3699
90	368	3685
91	371	3668
92	374	3653
93	377	3638
94	380	3627
95	384	3620
96	386	3596
97	389	3583
98	392	3573
99	397	3575
100	400	3568
101	404	3562
102	407	3546
103	410	3532
104	413	3527
105	416	3513
106	419	3499
107	422	3491
108	425	3477
109	428	3470
110	431	3457
111	434	3442
112	437	3434
113	440	3424
114	443	3416
115	448	3416
116	451	3407
117	454	3396
118	456	3382
119	460	3374
120	463	3370
121	466	3359
122	469	3349
123	472	3335
124	475	3326
125	478	3316
126	480	3299
127	482	3288
128	486	3281
129	489	3276
130	492	3267
131	495	3255
132	497	3243
133	500	3235
134	504	3230
135	507	3222
136	510	3213
137	512	3202
138	515	3190
139	518	3185
140	521	3177
141	524	3169
142	528	3167
143	531	3158
144	535	3156
145	538	3147
146	541	3140
147	544	3131
148	546	3121
149	549	3115
150	553	3109
151	556	3102
152	558	3094
153	561	3082
154	564	3076
155	567	3072
156	570	3065
157	573	3057
158	576	3048
159	578	3038
160	582	3035
161	585	3029
162	588	3022
163	591	3013
164	593	3003
165	605	3041
166	610	3044
167	616	3054
168	622	3061
169	627	3062
170	632	3068
171	638	3071
172	641	3065
173	646	3069
174	651	3069
175	655	3070
176	660	3071
177	665	3072
178	670	3073
179	673	3069
180	678	3069
181	682	3068
182	686	3065
183	690	3061
184	694	3059
185	698	3055
186	701	3050
187	704	3043
188	708	3038
189	711	3034
190	715	3029
191	718	3023
192	721	3017
193	725	3012
194	728	3009
195	732	3003
196	735	2996
197	737	2987
198	741	2983
199	744	2977
200	747	2970
201	750	2963
202	753	2956
203	756	2952
204	760	2949
205	763	2943
206	766	2936
207	769	2930
208	773	2926
209	777	2924
210	780	2919
211	783	2912
212	786	2905
213	790	2903
214	794	2900
215	797	2894
216	800	2888
217	803	2884
218	807	2880
219	810	2874
220	813	2868
221	816	2861
222	820	2857
223	824	2854
224	827	2849
225	830	2844
226	833	2839
227	837	2836
228	841	2832
229	844	2826
230	847	2821
231	850	2816
232	854	2814
233	858	2810
234	862	2807
235	866	2803
236	870	2803
237	874	2798
238	877	2793
239	880	2788
240	883	2784
241	888	2781
242	891	2777
243	895	2773
244	898	2769
245	903	2768
246	906	2763
247	909	2758
248	913	2754
249	917	2751
250	921	2750
251	925	2746
252	928	2740
253	932	2738
254	935	2733
255	939	2729
256	942	2723
257	945	2718
258	949	2715
259	952	2711
260	955	2706
261	959	2701
262	962	2697
263	981	2737
264	985	2732
265	988	2728
266	992	2723
267	996	2722
268	1000	2719
269	1004	2714
270	1007	2709
271	1010	2705
272	1013	2700
273	1016	2694
274	1019	2688
275	1022	2681
